Column2,Column1,room_info_list,prices_list,stars_list,number_of_reviews_list,url
64,64,3 guests · 1 bedroom · 1 bed · 1 bath,$68 ,4.98 ·,87 reviews,https://www.airbnb.com/rooms/51560374?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-15&check_out=2023-04-20&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
65,65,6 guests · 3 bedrooms · 4 beds · 1 bath,$120 ,4.89 ·,44 reviews,https://www.airbnb.com/rooms/643702395957919841?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
66,66,4 guests · 1 bedroom · 1 bed · 1 bath,$158 ,4.90 ·,271 reviews,https://www.airbnb.com/rooms/43230135?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-22&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
67,67,3 guests · 1 bedroom · 2 beds · 1 bath,$94 ,4.97 ·,410 reviews,https://www.airbnb.com/rooms/32127592?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-07-02&check_out=2023-07-07&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
68,68,2 guests · 1 bed · 1 bath,$88 ,4.97 ·,307 reviews,https://www.airbnb.com/rooms/35703852?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
69,69,2 guests · 1 bedroom · 1 bed · 1 bath,$156 ,4.93 ·,82 reviews,https://www.airbnb.com/rooms/644195800852389881?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
70,70,11 guests · 3 bedrooms · 11 beds · 1 bath,$233 ,4.84 ·,32 reviews,https://www.airbnb.com/rooms/712054024920692420?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-29&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
71,71,,$99 ,4.80 ·,5 reviews,https://www.airbnb.com/rooms/844924608166880461?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=fd9a38ed-35d4-4529-a87a-7eda5ee34b3e
72,72,4 guests · 1 bedroom · 3 beds · 1 bath,$115 ,4.94 ·,85 reviews,https://www.airbnb.com/rooms/581964708085371109?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-23&check_out=2023-04-28&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
73,73,2 guests · 1 bedroom · 1 bed · 1 bath,$64 ,4.95 ·,197 reviews,https://www.airbnb.com/rooms/7112472?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-07&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
74,74,,$121 ,4.93 ·,46 reviews,https://www.airbnb.com/rooms/566645759850415719?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
75,75,3 guests · 1 bedroom · 3 beds · 1 bath,$84 ,4.97 ·,208 reviews,https://www.airbnb.com/rooms/11360182?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-29&check_out=2023-05-05&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
76,76,4 guests · 2 bedrooms · 3 beds · 1 bath,$135 ,4.88 ·,8 reviews,https://www.airbnb.com/rooms/794419784651677365?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-16&check_out=2023-04-21&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
77,77,2 guests · 1 bedroom · 1 bed · 1 bath,$72 ,4.99 ·,237 reviews,https://www.airbnb.com/rooms/39131645?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-09-23&check_out=2023-09-28&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
78,78,2 guests · Studio · 2 beds · 1 bath,$61 ,4.95 ·,167 reviews,https://www.airbnb.com/rooms/43518137?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-07&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
79,79,6 guests · 1 bedroom · 3 beds · 1 bath,$131 ,4.94 ·,88 reviews,https://www.airbnb.com/rooms/47583975?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-04-17&check_out=2023-04-24&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
80,80,6 guests · 2 bedrooms · 3 beds · 1 bath,$194 ,4.99 ·,92 reviews,https://www.airbnb.com/rooms/49464658?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-05-01&check_out=2023-05-06&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
81,81,2 guests · 1 bedroom · 1 bed · 1 bath,$202 ,4.96 ·,354 reviews,https://www.airbnb.com/rooms/35484995?adults=1&children=0&enable_m3_private_room=false&infants=0&pets=0&check_in=2023-06-04&check_out=2023-06-09&previous_page_section_name=1000&federated_search_id=d3f345e9-1568-49ba-843b-311b1c448017
